RSU,OLT Type,Chasis No,Slot Number,Port Number,Odf Number,Fatbox,Splitter Name,Type,Card Number,IP,LCO Name,LCO ID,Deployment Partner name,Fiber Cable used,HP count,City,latitude,longitude,Network Type
BTD,Nokia,L1,1,7,BTD04,BTD040101,BTD04010101,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.527388,77.83490515,FTTH
BTD,Nokia,L1,1,7,BTD04,BTD040102,BTD04010201,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.52701544,77.83457645,FTTH
BTD,Nokia,L1,1,7,BTD04,BTD040103,BTD04010301,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.52716244,77.8349251,FTTH
BTD,Nokia,L1,1,7,BTD04,BTD040104,BTD04010401,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.52701289,77.83492481,FTTH
BTD,Nokia,L1,1,7,BTD04,BTD040105,BTD04010501,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.52695199,77.83519237,FTTH
BTD,Nokia,L1,1,7,BTD04,BTD040106,BTD04010601,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.52726177,77.83526688,FTTH
BTD,Nokia,L1,1,7,BTD04,BTD040107,BTD04010701,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.52737396,77.83518391,FTTH
BTD,Nokia,L1,1,7,BTD04,BTD040108,BTD04010801,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.52772491,77.83517847,FTTH
BTD,Nokia,L1,1,8,BTD04,BTD040201,BTD04020101,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.5273069,77.8356238,FTTH
BTD,Nokia,L1,1,8,BTD04,BTD040202,BTD04020201,NEW,1,10.157.25.22,SHIVA ENTERPRISES,648489,SHIVA ENTERPRISES,12F,8,BHOPAL,23.52728514,77.83606457,FTTH
